id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
1274	采取	5		cǎi qǔ	to adopt or carry out (measures	policies	course of action)	to take	f		hsk	
1275	彩虹	5		cǎi hóng	rainbow				f		hsk	
1276	参考	5		cān kǎo	consultation	reference	to consult	to refer	f		hsk	
1277	参与	5		cān yù	to participate (in sth)				f		hsk	
1278	餐厅	5		cān tīng	dining hall	dining room	restaurant	CL:間|间	f		hsk	
1279	残疾	5		cán jí	disabled	handicapped	deformity on a person or animal		f		hsk	
1280	惭愧	5		cán kuì	ashamed				f		hsk	
1281	操场	5		cāo chǎng	playground	sports field	drill ground	CL:個|个[gè]	f		hsk	
1282	操心	5		cāo xīn	to worry about				f		hsk	
1283	册	5		cè	book	booklet	classifier for books		f		hsk	
1284	测验	5		cè yàn	test	to test	CL:次	個|个[gè]	f		hsk	
1285	厕所	5		cè suǒ	toilet	lavatory	CL:間|间	處|处[chù]	f		hsk	
1286	曾经	5		céng jīng	once	already	former	previously	f		hsk	
1287	插	5		chā	to insert	stick in	pierce	to take part in	f		hsk	
1288	差别	5		chā bié	difference	distinction	diversity	disparity	f		hsk	
1289	叉子	5		chā zi	fork	CL:把[bǎ]			f		hsk	
1290	拆	5		chāi	to tear open	to tear down	to tear apart	to open	f		hsk	
1291	产品	5		chǎn pǐn	goods	merchandise	product	CL:個|个[gè]	f		hsk	
1292	产生	5		chǎn shēng	to arise	to come into being	to come about	to give rise to	f		hsk	
1293	长途	5		cháng tú	long distance				f		hsk	
1294	常识	5		cháng shí	common sense	general knowledge	CL:門|门[mén]		f		hsk	
1295	抄	5		chāo	to make a copy	to plagiarize	to search and seize	to raid	f		hsk	
1296	朝	5		cháo	imperial or royal court	government	dynasty	reign of a sovereign or emperor	f		hsk	
1297	朝代	5		cháo dài	dynasty	reign (of a king)			f		hsk	
1298	炒	5		chǎo	to sauté	to stir-fry	to speculate	to hype	f		hsk	
1299	吵架	5		chǎo jià	to quarrel	to have a row	quarrel	CL:頓|顿[dùn]	f		hsk	
1300	车库	5		chē kù	garage				f		hsk	
1301	车厢	5		chē xiāng	carriage	CL:節|节[jié]			f		hsk	
1302	彻底	5		chè dǐ	thorough	thoroughly	complete		f		hsk	
1303	沉默	5		chén mò	taciturn	uncommunicative	silent		f		hsk	
1304	趁	5		chèn	to avail oneself of	to take advantage of			f		hsk	
1305	称	5		chēng	to weigh	to state	to name	name	f		hsk	
1306	称呼	5		chēng hu	to call	to address as	appellation		f		hsk	
1307	称赞	5		chēng zàn	to praise	to acclaim	to commend	to compliment	f		hsk	
1308	乘	5		chéng	to ride	to mount	to make use of	to avail oneself of	f		hsk	
1309	承担	5		chéng dān	to undertake	to assume (responsibility etc)			f		hsk	
1310	承认	5		chéng rèn	to admit	to concede	to recognize	recognition (diplomatic	f		hsk	
1311	承受	5		chéng shòu	to bear	to support	to inherit		f		hsk	
1312	成分	5		chéng fèn	composition	make-up	ingredient	element	f		hsk	
1313	成果	5		chéng guǒ	result	achievement	gain	profit	f		hsk	
1314	成就	5		chéng jiù	accomplishment	success	attain a result	achievement	f		hsk	
1315	成立	5		chéng lì	to establish	to set up	to be tenable	to hold water	f		hsk	
1316	成语	5		chéng yǔ	Chinese set expression	often made up of 4 characters or two couplets of 4 characters each	often alluding to a story or historical quotation	idiom; proverb; saying; adage; set expression	f		hsk	
1317	成长	5		chéng zhǎng	to mature	to grow	growth		f		hsk	
1318	程度	5		chéng dù	degree (level or extent)	level	CL:個|个[gè]		f		hsk	
1319	程序	5		chéng xù	procedures	sequence	order	computer program	f		hsk	
1320	诚恳	5		chéng kěn	sincere	honest	cordial		f		hsk	
1321	吃亏	5		chī kuī	to suffer losses	to come to grief	to lose out	to get the worst of it	f		hsk	
1322	持续	5		chí xù	to continue	to persist	sustainable	preservation	f		hsk	
1323	池子	5		chí zi	pond	CL:個|个[gè]			f		hsk	
1324	尺子	5		chǐ zi	rule	ruler (measuring instrument)	CL:把[bǎ]		f		hsk	
1325	翅膀	5		chì bǎng	wing	CL:個|个	對|对[duì]		f		hsk	
1326	冲	5		chōng	thoroughfare	to go straight ahead	to rush	to clash	f		hsk	
1327	充电器	5		chōng diàn qì	battery charger				f		hsk	
1328	充分	5		chōng fèn	ample	sufficient	adequate	full	f		hsk	
1329	充满	5		chōng mǎn	full of	brimming with	very full	permeated	f		hsk	
1330	重复	5		chóng fù	to repeat	to duplicate	CL:個|个[gè]		f		hsk	
1331	宠物	5		chǒng wù	house pet				f		hsk	
1332	抽屉	5		chōu ti	drawer				f		hsk	
1333	抽象	5		chōu xiàng	abstract	abstraction	CL:種|种[zhǒng]		f		hsk	
1334	丑	5		chǒu	shameful	ugly	disgraceful		f		hsk	
1335	臭	5		chòu	stench	stink	smelly	to smell (bad)	f		hsk	
1336	出版	5		chū bǎn	to publish	to come off the press	to put out		f		hsk	
1337	出口	5		chū kǒu	an exit	CL:個|个[gè]	to speak	to export	f		hsk	
1338	出色	5		chū sè	remarkable	outstanding			f		hsk	
1339	出席	5		chū xí	to attend	to participate	present		f		hsk	
1340	初级	5		chū jí	junior	primary			f		hsk	
1341	除	5		chú	to get rid of	to remove	to exclude	to eliminate	f		hsk	
1342	除非	5		chú fēi	only if (...	or otherwise	...)	only when	f		hsk	
1343	除夕	5		chú xī	(New Year's) Eve				f		hsk	
1344	处理	5		chǔ lǐ	to handle	to treat	to deal with	to process	f		hsk	
1345	传播	5		chuán bō	to disseminate	to propagate	to spread		f		hsk	
1346	传递	5		chuán dì	to transmit	to pass on to sb else			f		hsk	
1347	传染	5		chuán rǎn	to infect	contagious			f		hsk	
1348	传说	5		chuán shuō	legend	folklore	tradition	it is said	f		hsk	
1349	传统	5		chuán tǒng	tradition	traditional	convention	conventional	f		hsk	
1350	窗帘	5		chuāng lián	window curtains				f		hsk	
1351	闯	5		chuǎng	to rush	to charge	to dash	to break through	f		hsk	
1352	创造	5		chuàng zào	to create	to bring about	to produce	to set (a record)	f		hsk	
1353	吹	5		chuī	to blow	to play a wind instrument	to blast	to puff	f		hsk	
1354	磁带	5		cí dài	magnetic tape	CL:盤|盘	盒[hé]		f		hsk	
1355	辞职	5		cí zhí	to resign				f		hsk	
1356	此外	5		cǐ wài	besides	in addition	moreover	furthermore	f		hsk	
1357	刺激	5		cì jī	to provoke	to irritate	to upset	to stimulate	f		hsk	
1358	次要	5		cì yào	secondary				f		hsk	
1359	匆忙	5		cōng máng	hasty	hurried			f		hsk	
1360	从此	5		cóng cǐ	from now on	since then	henceforth		f		hsk	
1361	从而	5		cóng ér	thus	thereby			f		hsk	
1362	从前	5		cóng qián	previously	formerly	once upon a time		f		hsk	
1363	从事	5		cóng shì	to go for	to engage in	to undertake	to deal with	f		hsk	
1364	醋	5		cù	vinegar				f		hsk	
1365	促进	5		cù jìn	to promote (an idea or cause)	to advance	boost		f		hsk	
1366	促使	5		cù shǐ	to induce	to promote	to urge	to impel	f		hsk	
1367	催	5		cuī	to urge	to press	to prompt	to rush sb	f		hsk	
1368	存	5		cún	to exist	to deposit	to store	to keep	f		hsk	
1369	存在	5		cún zài	to exist	to be	existence		f		hsk	
1370	错误	5		cuò wù	error	mistake	CL:個|个[gè]	mistaken	f		hsk	
1371	措施	5		cuò shī	measure	step	CL:個|个[gè]		f		hsk	
1372	答应	5		dā ying	to promise	to agree	to reply	to respond	f		hsk	
1373	达到	5		dá dào	to reach	to achieve	to attain		f		hsk	
1374	打工	5		dǎ gōng	to work a temporary or casual job	(of students) to have a job outside of class time	or during vacation		f		hsk	
1375	打交道	5		dǎ jiāo dào	to come into contact with	to have dealings			f		hsk	
1376	打喷嚏	5		dǎ pēn tì	to sneeze				f		hsk	
1377	打听	5		dǎ ting	to ask about	to inquire about			f		hsk	
1378	打招呼	5		dǎ zhāo hu	to greet sb by word or action	to give prior notice			f		hsk	
1379	大方	5		dà fang	generous	magnanimous	stylish	in good taste	f		hsk	
1380	大象	5		dà xiàng	elephant	CL:隻|只[zhī]			f		hsk	
1381	大型	5		dà xíng	large	large-scale			f		hsk	
1382	呆	5		dāi	foolish	stupid	expressionless	blank	f		hsk	
1383	贷款	5		dài kuǎn	a loan	to provide a loan (e.g. bank)	CL:筆|笔[bǐ]		f		hsk	
1384	待遇	5		dài yù	treatment	pay	wages	status	f		hsk	
1385	担任	5		dān rèn	to hold a governmental office or post	to assume office of	to take charge of	to serve as	f		hsk	
1386	单纯	5		dān chún	simple	pure	alone	merely	f		hsk	
1387	单调	5		dān diào	monotonous				f		hsk	
1388	单独	5		dān dú	alone	by oneself	on one's own		f		hsk	
1389	单位	5		dān wèi	a unit	unit (of measure)	work unit (one's workplace)	CL:個|个[gè]	f		hsk	
1390	单元	5		dān yuán	unit	entrance number	staircase (for residential buildings)		f		hsk	
1391	耽误	5		dān wu	to delay	to hold up	to waste time	to interfere with	f		hsk	
1392	胆小鬼	5		dǎn xiǎo guǐ	coward				f		hsk	
1393	淡	5		dàn	insipid	diluted	weak	mild	f		hsk	
1394	当代	5		dāng dài	the present age	the contemporary era			f		hsk	
1395	挡	5		dǎng	to resist	to obstruct	to hinder	to keep off	f		hsk	
1396	岛	5		dǎo	island	CL:個|个	座[zuò]		f		hsk	
1397	倒霉	5		dǎo méi	to have bad luck	to be out of luck			f		hsk	
1398	导演	5		dǎo yǎn	to direct	director (film etc)			f		hsk	
1399	导致	5		dǎo zhì	to lead to	to create	to cause	to bring about	f		hsk	
1400	倒	5		dào	to place upside down	to invert	to pour	to throw out	f		hsk	
1401	到达	5		dào dá	to reach	to arrive			f		hsk	
1402	道德	5		dào dé	virtue	morality	ethics	CL:種|种[zhǒng]	f		hsk	
1403	道理	5		dào li	reason	argument	sense	principle	f		hsk	
1404	登机牌	5		dēng jī pái	boarding pass				f		hsk	
1405	登记	5		dēng jì	to register (one's name)				f		hsk	
1406	等待	5		děng dài	to wait	to wait for			f		hsk	
1407	等候	5		děng hòu	to wait	to wait for			f		hsk	
1408	等于	5		děng yú	to equal	to be tantamount to			f		hsk	
1409	滴	5		dī	a drop	to drip			f		hsk	
1410	的确	5		dí què	really	indeed			f		hsk	
1411	敌人	5		dí rén	enemy	CL:個|个[gè]			f		hsk	
1412	递	5		dì	to hand over	to pass on sth	to gradually increase or decrease	progressively	f		hsk	
1413	地道	5		dì dao	authentic	genuine	typical	from a place known for the product	f		hsk	
1414	地理	5		dì lǐ	geography				f		hsk	
1415	地区	5		dì qū	local	regional	district (not necessarily formal administrative unit)	region	f		hsk	
1416	地毯	5		dì tǎn	carpet	rug			f		hsk	
1417	地位	5		dì wèi	position	status	place	CL:個|个[gè]	f		hsk	
1418	地震	5		dì zhèn	earthquake				f		hsk	
1419	点头	5		diǎn tóu	to nod				f		hsk	
1420	点心	5		diǎn xin	light refreshments	pastry	dimsum (in Cantonese cooking)	dessert	f		hsk	
1421	电池	5		diàn chí	battery	CL:節|节	組|组[zǔ]		f		hsk	
1422	电台	5		diàn tái	transmitter-receiver	broadcasting station	radio station	CL:個|个	f		hsk	
1423	钓	5		diào	to fish with a hook and bait				f		hsk	
1424	丁	5		dīng	fourth of 10 heavenly stems 十天干	fourth in order	letter 'D' or roman 'IV' in list 'A' 'B' 'C' or 'I' 'II' 'III' etc	butyl	f		hsk	
1425	顶	5		dǐng	apex	crown of the head	top	roof	f		hsk	
1426	冻	5		dòng	to freeze	to feel very cold	aspic or jelly		f		hsk	
1427	洞	5		dòng	cave	hole	zero (unambiguous spoken form when spelling out numbers)	CL:個|个[gè]	f		hsk	
1428	动画片	5		dòng huà piàn	animated film				f		hsk	
1429	逗	5		dòu	to stay	to stop	to pause (while reading)	to tease (play with)	f		hsk	
1430	豆腐	5		dòu fu	tofu	bean curd			f		hsk	
1431	独立	5		dú lì	independent	independence	to stand alone		f		hsk	
1432	独特	5		dú tè	unique	distinct	having special characteristics		f		hsk	
1433	度过	5		dù guò	to pass	to spend (time)	to survive	to get through	f		hsk	
1434	短信	5		duǎn xìn	text message	SMS			f		hsk	
1435	堆	5		duī	to pile up	to heap up	a mass	pile	f		hsk	
1436	对比	5		duì bǐ	to contrast	contrast	ratio	CL:個|个[gè]	f		hsk	
1437	对待	5		duì dài	to treat	treatment			f		hsk	
1438	对方	5		duì fāng	counterpart	other person involved	opposite side	other side	f		hsk	
1439	对手	5		duì shǒu	opponent	adversary	match		f		hsk	
1440	对象	5		duì xiàng	target	object	partner	boyfriend	f		hsk	
1441	对于	5		duì yú	regarding	as far as sth is concerned	with regards to		f		hsk	
1442	吨	5		dūn	ton	Taiwan pr. [dùn]			f		hsk	
1443	蹲	5		dūn	to crouch	to squat			f		hsk	
1444	多亏	5		duō kuī	thanks to	luckily			f		hsk	
1445	多余	5		duō yú	superfluous	unnecessary	surplus		f		hsk	
1446	躲藏	5		duǒ cáng	to hide oneself				f		hsk	
1447	恶劣	5		è liè	vile	nasty	of very poor quality		f		hsk	
1448	发表	5		fā biǎo	to issue	to publish			f		hsk	
1449	发愁	5		fā chóu	to worry	to fret	to be anxious	to become sad	f		hsk	
1450	发达	5		fā dá	developed (country etc)	flourishing	to develop		f		hsk	
1451	发抖	5		fā dǒu	to tremble	to shake	to shiver		f		hsk	
1452	发挥	5		fā huī	to display	to exhibit	to bring out implicit or innate qualities	to express (a thought or moral)	f		hsk	
1453	发明	5		fā míng	to invent	invention	CL:個|个[gè]		f		hsk	
1454	发票	5		fā piào	invoice	receipt or bill for purchase			f		hsk	
1455	发言	5		fā yán	to make a speech	statement	utterance	CL:個|个[gè]	f		hsk	
1456	罚款	5		fá kuǎn	(impose a) fine	penalty	fine (monetary)		f		hsk	
1457	法院	5		fǎ yuàn	court of law	court			f		hsk	
1458	翻	5		fān	to turn over	to flip over	to overturn	to rummage through	f		hsk	
1459	繁荣	5		fán róng	prosperous	booming (economy)			f		hsk	
1460	凡是	5		fán shì	each and every	every	all	any	f		hsk	
1461	反而	5		fǎn ér	instead	on the contrary	contrary (to expectations)		f		hsk	
1462	反复	5		fǎn fù	repeatedly	over and over			f		hsk	
1463	反应	5		fǎn yìng	to react	to respond	reaction	response	f		hsk	
1464	反正	5		fǎn zhèng	anyway	in any case	to come over from the enemy's side		f		hsk	
1465	方	5		fāng	square	power or involution (mathematics)	upright	honest	f		hsk	
1466	方案	5		fāng àn	plan	program (for action etc)	proposal	proposed bill	f		hsk	
1467	方式	5		fāng shì	way (of life)	pattern	style	mode	f		hsk	
1468	妨碍	5		fáng ài	to hinder	to obstruct			f		hsk	
1469	房东	5		fáng dōng	landlord				f		hsk	
1470	仿佛	5		fǎng fú	to seem	as if	alike	similar	f		hsk	
1471	放松	5		fàng sōng	to loosen	to relax			f		hsk	
1472	非	5		fēi	to not be	not	wrong	incorrect	f		hsk	
1473	肥皂	5		féi zào	soap	CL:塊|块	條|条[tiáo]		f		hsk	
1474	肺	5		fèi	lung	CL:個|个[gè]			f		hsk	
1475	废话	5		fèi huà	nonsense	rubbish	superfluous words	You don't say!	f		hsk	
1476	费用	5		fèi yòng	cost	expenditure	expense	CL:筆|笔	f		hsk	
1477	分别	5		fēn bié	to part or leave each other	to distinguish	difference	in different ways	f		hsk	
1478	分布	5		fēn bù	distributed	to distribute			f		hsk	
1479	分配	5		fēn pèi	to distribute	to assign	to allocate	to partition (a hard drive)	f		hsk	
1480	分析	5		fēn xī	to analyze	analysis	CL:個|个[gè]		f		hsk	
1481	纷纷	5		fēn fēn	one after another	in succession	one by one	continuously	f		hsk	
1482	奋斗	5		fèn dòu	to strive	to struggle			f		hsk	
1483	愤怒	5		fèn nù	angry	indignant	wrath	ire	f		hsk	
1484	风格	5		fēng gé	style				f		hsk	
1485	风俗	5		fēng sú	social custom	CL:個|个[gè]			f		hsk	
1486	风险	5		fēng xiǎn	risk	hazard			f		hsk	
1487	疯狂	5		fēng kuáng	madness	extreme popularity			f		hsk	
1488	讽刺	5		fěng cì	to satirize	to mock	irony	satire	f		hsk	
1489	否定	5		fǒu dìng	to negate	to deny	to reject	negative (answer)	f		hsk	
1490	否认	5		fǒu rèn	to declare to be untrue	to deny			f		hsk	
1491	扶	5		fú	to support with the hand	to help sb up	to support oneself by holding onto something	to help	f		hsk	
1492	幅	5		fú	width	roll	classifier for textiles or pictures		f		hsk	
1493	服从	5		fú cóng	to obey (an order)	to comply	to defer		f		hsk	
1494	服装	5		fú zhuāng	dress	clothing	costume	clothes	f		hsk	
1495	辅导	5		fǔ dǎo	to coach	to tutor	to give advice (in study)		f		hsk	
1496	复制	5		fù zhì	to duplicate	to make a copy of	to copy	to reproduce	f		hsk	
1497	付款	5		fù kuǎn	to pay a sum of money	payment			f		hsk	
1498	妇女	5		fù nǚ	woman				f		hsk	
1499	改革	5		gǎi gé	reform	CL:次	種|种	項|项[xiàng]	f		hsk	
1500	改进	5		gǎi jìn	to improve	to make better	CL:個|个[gè]		f		hsk	
1501	改善	5		gǎi shàn	to make better	to improve	CL:個|个[gè]		f		hsk	
1502	改正	5		gǎi zhèng	to correct	to amend	to put right	correction	f		hsk	
1503	盖	5		gài	lid	top	cover	canopy	f		hsk	
1504	概括	5		gài kuò	to summarize	to generalize	briefly	CL:個|个[gè]	f		hsk	
1505	概念	5		gài niàn	concept	idea	CL:個|个[gè]		f		hsk	
1506	干脆	5		gān cuì	straightforward	clear-cut	blunt (e.g. statement)	you might as well	f		hsk	
1507	感激	5		gǎn jī	to be grateful	to appreciate	thankful		f		hsk	
1508	感受	5		gǎn shòu	to sense	perception	to feel (through the senses)	a feeling	f		hsk	
1509	感想	5		gǎn xiǎng	impressions	reflections	thoughts	CL:通	f		hsk	
1510	赶紧	5		gǎn jǐn	hurriedly	without delay			f		hsk	
1511	赶快	5		gǎn kuài	at once	immediately			f		hsk	
1512	干活儿	5		gàn huó r	to work	manual labor			f		hsk	
1513	钢铁	5		gāng tiě	steel				f		hsk	
1514	高档	5		gāo dàng	superior quality	high grade	top grade		f		hsk	
1515	高速	5		gāo sù	high speed				f		hsk	
1516	搞	5		gǎo	to do	to make	to go in for	to set up	f		hsk	
1517	告别	5		gào bié	to leave	to bid farewell to	to say good-bye to		f		hsk	
1518	胳膊	5		gē bo	arm	CL:隻|只	條|条	雙|双[shuāng]	f		hsk	
1519	鸽子	5		gē zi	pigeon	dove	various birds of the species Columbidae		f		hsk	
1520	隔壁	5		gé bì	next door	neighbor			f		hsk	
1521	格外	5		gé wài	especially	particularly			f		hsk	
1522	革命	5		gé mìng	revolution	revolutionary (politics)	CL:次[cì]		f		hsk	
1523	个别	5		gè bié	individual	specific	respective	just one or two	f		hsk	
1524	个人	5		gè rén	individual	personal	oneself		f		hsk	
1525	个性	5		gè xìng	individuality	personality			f		hsk	
1526	各自	5		gè zì	each	respective	apiece		f		hsk	
1527	根	5		gēn	root	basis	classifier for long slender objects	e.g. cigarettes	f		hsk	
1528	根本	5		gēn běn	fundamental	basic	root	simply	f		hsk	
1529	更加	5		gèng jiā	more (than sth else)	even more			f		hsk	
1530	公布	5		gōng bù	to announce	to make public	to publish		f		hsk	
1531	公开	5		gōng kāi	public	to publish	to make public		f		hsk	
1532	公平	5		gōng píng	fair	impartial			f		hsk	
1533	公寓	5		gōng yù	apartment building	block of flats	CL:套[tào]		f		hsk	
1534	公元	5		gōng yuán	CE (Common Era)	Christian Era	AD (Anno Domini)		f		hsk	
1535	公主	5		gōng zhǔ	princess				f		hsk	
1536	工厂	5		gōng chǎng	factory	CL:家	座[zuò]		f		hsk	
1537	工程师	5		gōng chéng shī	engineer	CL:個|个	位	名[míng]	f		hsk	
1538	工人	5		gōng rén	worker	CL:個|个	名[míng]		f		hsk	
1539	工业	5		gōng yè	industry				f		hsk	
1540	功夫	5		gōng fu	skill	art	kung fu	labor	f		hsk	
1541	功能	5		gōng néng	function	capability			f		hsk	
1542	贡献	5		gòng xiàn	to contribute	to dedicate	to devote	contribution	f		hsk	
1543	沟通	5		gōu tōng	to join	to connect	to link up	to communicate	f		hsk	
1544	构成	5		gòu chéng	to constitute	to form	to compose	to make up	f		hsk	
1545	姑姑	5		gū gu	paternal aunt	CL:個|个[gè]			f		hsk	
1546	姑娘	5		gū niang	girl	young woman	young lady	daughter	f		hsk	
1547	古代	5		gǔ dài	ancient times	olden times			f		hsk	
1548	古典	5		gǔ diǎn	classical				f		hsk	
1549	古老	5		gǔ lǎo	ancient	old	age-old		f		hsk	
1550	股票	5		gǔ piào	share	stock (market)			f		hsk	
1551	鼓舞	5		gǔ wǔ	heartening (news)	boost (morale)	CL:個|个[gè]		f		hsk	
1552	骨头	5		gǔ tou	bone	CL:根	塊|块[kuài]	moral character	f		hsk	
1553	固定	5		gù dìng	fixed	set	regular		f		hsk	
1554	固体	5		gù tǐ	solid				f		hsk	
1555	雇佣	5		gù yōng	to employ	to hire			f		hsk	
1556	挂号	5		guà hào	to register (a letter etc)				f		hsk	
1557	乖	5		guāi	(of a child) obedient	well-behaved	clever	shrewd	f		hsk	
